Index,Activity name,Completions/hr (main),Completions/hr (iron),Extra time to first completion (hours),Notes,Verification source
71,Gnome restaurant deliveries (scarfs and goggles),20,20,0,,-
72,Pulling from the reward guardian (guardians of the rift),33,33,0,,-
73,Looting hallowed marks (hallowed sepulchre),160,160,0,,-
74,Looting the grand hallowed coffin (hallowed sepulchre),8.5,8.5,0,,-
75,Earning last man standing points,28,28,0,Assumes you fill games with your alts.,-
76,Surviving the round (last man standing),4,4,0,Assumes you fill games with your alts.,-
77,Wasting hours at the magic training arena,1,1,0,,-
78,Earning mahogany homes carpenter points,285,235,0,,-
79,Collecting resin (mastering mixology),12000,12000,0,,-
80,Getting commendation points (pest control),270,270,0,Veteran lander + Hard combat achievements.,-
81,Stealing from the rogues' den maze,15,15,0,,-
82,Opening chests with shades of mort'ton keys,175,175,0,Buy shade remains.,-
83,Earning soul wars zeal,375,375,0,With an alt.,-
84,Finding lumberjack zombie events (temple trekking),10,10,0,,-
85,Earning tithe farm reward points,95,95,0,,-
86,Earning pieces of eight (trouble brewing),1200,1200,0,2 alts. Use 275/hr for no alts.,-
87,Earning volcanic mine reward points,10000,10000,0,,-
88,Collecting pearls while aerial fishing,32,32,0,,-
89,Opening barronite deposits in camdozaal,150,150,0,,-
90,Fishing in camdozaal,800,800,0,,-
91,Killing chaos golems in camdozaal,200,200,0,,-
92,Killing earth warriors (champion's challenge),350,350,0,Cannon + Webweaver or chainmace in Edgeville Dungeon.,-
93,Killing ghouls (champion's challenge),750,750,0,Cannon + Blowpipe in the Salve Graveyard.,-
94,Killing giants (champion's challenge),900,900,0,Cannon + Blowpipe in the Shayzien Giant Pit.,-
95,Killing goblins (champion's challenge),1600,1600,0,Cannon + Blowpipe in Lumbridge/Draynor.,-
96,Killing hobgoblins (champion's challenge),800,800,0,Cannon + Blowpipe at the peninsula east of Hosidius.,-
97,Killing imps (champion's challenge),650,650,0,Cannon at Hosidius and blowpipe at Monastery.,-
98,Killing jogres (champion's challenge),650,650,0,Cannon + Blowpipe in the Pothole Dungeon.,-
99,Killing lesser demons (champion's challenge),500,500,0,Cannon + Webweaver bow in the Wilderness Slayer cave.,-
100,Killing skeletons (champion's challenge),1300,1300,0,Chins on Skeletal Monkeys in the MM1 dungeon.,-
101,Killing zombies (champion's challenge),1000,1000,0,Cannon + Webweaver bow on Undead Pirates.,-
102,Killing elder chaos druids,480,480,0,Cannon + Webweaver bow.,-
103,Killing chompies,400,400,0,,-
104,Collecting termites (colossal wyrm agility),270,270,0,,-
105,Killing frogeels (creature creation),150,150,0,,-
106,Killing unicows (creature creation),150,150,0,,-
107,Killing spidines (creature creation),150,150,0,,-
108,Killing swordchicks (creature creation),150,150,0,,-
109,Killing jubsters (creature creation),150,150,0,,-
110,Killing newtroosts (creature creation),150,150,0,,-
111,Killing cyclopes at the warriors' guild,200,200,0,Max melee.,-
112,Collecting anima-infused bark (forestry),1500,1500,0,,TheRealOne's EHC Hiscores. 
113,Doing entling events for god eggs,6,6,0,Use Forestry CC to find the entlings.,#forestry-scout-calls
114,Spending 100 numulite at the fossil island notes chest,1000,1000,0,Bring about 10000 numulite to be safe.,-
115,Killing demonic gorillas,60,60,0,,-
116,Opening hunters' loot sacks (hunters' rumours),30,30,0,"Guild Master Teco, using the Kebbit tech.",-
117,Running laps of monkey agility,95,95,0,,-
118,Collecting gold nuggets at the motherlode mine,10,10,0,,-
119,Looting skeletons in the ancient cavern (my notes / ancient page),360,360,0.2,"Not recommended, do mithril dragons instead.",-
120,"Killing revenants (orks, skulled)",200,200,0,,-
121,Collecting marks of grace (rooftop agility),25,25,0,Ardougne is fastest.,-
122,Killing soldiers in the shayzien combat ring,100,100,0,,-
123,Mining stardust from shooting stars,800,800,0,,-
124,Killing crawling hands,800,800,0,Cannon in Meiyerditch Labs.,-
125,Killing cockatrice,800,800,0,,-
126,Killing basilisks,350,350,0,,-
127,Killing basilisk knights (on task),90,90,0,Fang.,-
128,Killing kurask,250,250,0,Max melee.,-
129,Killing abyssal demons (catacombs of kourend),350,350,0,"Barrage. Not recommended, do Sire instead.",-
130,Killing dust devils (catacombs of kourend),650,650,0,,-
131,Killing waterfiends,150,150,0,"Not recommended, get from superiors instead. ",-
132,Killing gargoyles,250,250,0,"Not recommended, do boss instead.",-
133,Killing mogres,90,90,0,,-
134,Killing brine rats,675,675,0,,-
135,Killing turoth,300,300,0,"Not recommended, kill hydra boss instead.",-
136,Killing cave horrors,500,500,0,,-
137,Killing fossil island wyverns,145,145,0,Lance and full torva.,-
138,Killing ancient wyverns,75,75,0,"Not recommended, do small wyverns instead.",-
139,Killing skeletal wyverns,100,100,0,,-
140,Killing terror dogs,200,200,0,"Not recommended, do BA gambles instead.",-
141,Killing cave crawlers,800,800,0,,-
142,Killing cave slimes,600,600,0,"Not recommended, kill cave crawlers instead.",-
143,Killing pyrefiends,400,400,0,,-
144,Killing harpie bug swarms,400,400,0,,-
145,Killing bloodvelds,300,300,0,Rapier + Cannon.,-
146,Killing warped jellies (catacombs of kourend),650,650,0,Barrage.,-
147,Killing greater nechryael  (catacombs of kourend),400,400,0,Barrage.,-
148,Killing spiritual mages (non-zaros),180,180,0,"Not recommended, kill the Zaros ones instead.",-
149,Killing spiritual mages (zaros),150,150,0,,-
150,"Killing cave kraken (non-boss, on task)",240,240,0,,-
151,Killing dark beasts,190,190,0,,-
152,Killing smoke devils (on task),700,700,0,Barrage + alt.,-
153,Killing wyrms (on task),250,250,0,,-
154,Killing drakes (on task),155,155,0,,-
155,Killing sulphur lizards,800,800,0,,-
156,Killing infernal mages,450,450,0,Blowpipe.,-
157,Killing banshees,800,800,0,,-
158,Killing aberrant spectres,450,450,0,Cannon + blowpipe on task.,-
159,Pickpocketing from darkmeyer vyres,540,540,0,,-
160,Killing vyrewatch sentinels,160,160,0,Inquisitor + flail.,-
161,Killing warped terrorbirds,200,200,0,,-
162,Killing sulphur naguas,300,300,0,,-
163,Killing undead pirates,1000,1000,0,,-
164,"Killing araxytes (level 146, on task)",500,500,0,,-
165,Killing tormented demons,60,60,0,,-
166,Killing bulk tzhaar,750,750,0,,-
167,Killing tzhaar-mej,350,350,0,,-
168,Fishing (2-tick tuna and swordfish) ,1500,1500,0,Check Petcord.,-
169,Mining (gemstone rocks),1770,1770,0,Check Petcord.,-
170,Woodcutting (1.5-tick teaks),2350,2350,0,Check Petcord.,-
171,Hunting chinchompas (black chinchompas),850,850,0,Check Petcord.,-
172,Agility (penguin course),55,55,0,Check Petcord.,-
173,Farming (fruit trees),60,60,0,Check Petcord.,-
174,Thieving (fish stalls),1360,1360,0,Check Petcord.,-
175,Runecrafting (fire runes),26400,26400,0,Check Petcord.,-
176,Plucking herbiboar,60,60,0,Check Petcord.,-
177,Killing lizardmen,240,240,0,"Not recommended, kill shamans instead.",-
178,Killing lizardman shamans,125,125,0,,-
179,Fishing shark,440,440,0,2 tick fishing guild.,-
180,Fishing bass,360,360,0,2 tick fishing guild.,-
181,Killing in the wilderness god wars dungeon (barrage),500,500,0,,-
182,Looting grand gold chests (pyramid plunder),192,192,0,,-
183,Killing mithril dragons,84,84,0,,-
184,Killing adamant dragons,85,85,0,Lance.,-
185,Killing rune dragons,75,75,0,Lance.,-
186,Charging glories at the fountain of rune,1700,1700,0,,-
187,Killing ogress shamans,250,250,0,,-
188,Collecting unidentified minerals at the mining guild,20,20,0,Powermine iron.,-
189,Killing minotaurs (stronghold of security),500,500,0,,-
190,Killing flesh crawlers (stronghold of security),400,400,0,,-
191,Killing catablepons (stronghold of security),300,300,0,,-
192,Killing ankou (stronghold of security),200,200,0,,-
193,Killing moss giants (catacombs of kourend),750,750,0,,-
194,Killing hill giants,900,900,0,,-
195,Killing underwater crabs (level 23),400,400,0,,-
196,Killing undead druids,240,240,0,,-
197,Looting crystal implings,30,30,0,,-
198,Killing the prifddinas rabbit,4,4,0,Crossbow with ruby bolts.,-
199,Pickpocketing from prifddinas elves,450,450,0,,-
200,Killing elves (prifddinas),540,540,0,,-
201,Collecting mermaid tears (fossil island underwater),230,230,0,,-
202,Killing armoured zombies (Zemouregal),500,500,0,,-
