Index,Activity name,Completions/hr (main),Completions/hr (iron),Extra time to first completion (hours),Notes,Verification source
71,Looting hallowed marks (hallowed sepulchre),160,160,0,,-
72,Looting the grand hallowed coffin (hallowed sepulchre),8.5,8.5,0,,-
73,Earning last man standing points,28,28,0,Assumes you fill games with your alts.,-
74,Surviving the round (last man standing),4,4,0,Assumes you fill games with your alts.,-
75,Wasting hours at the magic training arena,1,1,0,,-
76,Earning mahogany homes carpenter points,285,235,0,,-
77,Getting commendation points (pest control),270,270,0,Veteran lander + Hard combat achievements.,-
78,Stealing from the rogues' den maze,15,15,0,,-
79,Opening chests with shades of mort'ton keys,175,175,0,Buy shade remains.,-
80,Earning soul wars zeal,375,375,0,With an alt.,-
81,Finding lumberjack zombie events (temple trekking),10,10,0,,-
82,Earning tithe farm reward points,95,95,0,,-
83,Earning pieces of eight (trouble brewing),1200,1200,0,2 alts. Use 275/hr for no alts.,-
84,Earning volcanic mine reward points,10000,10000,0,,-
85,Collecting pearls while aerial fishing,32,32,0,,-
86,Opening barronite deposits in camdozaal,150,150,0,,-
87,Fishing in camdozaal,800,800,0,,-
88,Killing chaos golems in camdozaal,200,200,0,,-
89,Killing earth warriors (champion's challenge),350,350,0,Cannon + Webweaver or chainmace in Edgeville Dungeon.,-
90,Killing ghouls (champion's challenge),750,750,0,Cannon + Blowpipe in the Salve Graveyard.,-
91,Killing giants (champion's challenge),900,900,0,Cannon + Blowpipe in the Shayzien Giant Pit.,-
92,Killing goblins (champion's challenge),1600,1600,0,Cannon + Blowpipe in Lumbridge/Draynor.,-
93,Killing hobgoblins (champion's challenge),800,800,0,Cannon + Blowpipe at the peninsula east of Hosidius.,-
94,Killing imps (champion's challenge),650,650,0,Cannon at Hosidius and blowpipe at Monastery.,-
95,Killing jogres (champion's challenge),650,650,0,Cannon + Blowpipe in the Pothole Dungeon.,-
96,Killing lesser demons (champion's challenge),500,500,0,Cannon + Webweaver bow in the Wilderness Slayer cave.,-
97,Killing skeletons (champion's challenge),1300,1300,0,Chins on Skeletal Monkeys in the MM1 dungeon.,-
98,Killing zombies (champion's challenge),1000,1000,0,Cannon + Webweaver bow on Undead Pirates.,-
99,Killing elder chaos druids,480,480,0,Cannon + Webweaver bow.,-
100,Killing chompies,400,400,0,,-
101,Killing frogeels (creature creation),150,150,0,,-
102,Killing unicows (creature creation),150,150,0,,-
103,Killing spidines (creature creation),150,150,0,,-
104,Killing swordchicks (creature creation),150,150,0,,-
105,Killing jubsters (creature creation),150,150,0,,-
106,Killing newtroosts (creature creation),150,150,0,,-
107,Killing cyclopes at the warriors' guild,200,200,0,Max melee.,-
108,Collecting anima-infused bark (forestry),1500,1500,0,,TheRealOne's EHC Hiscores. 
109,Doing entling events for god eggs,6,6,0,Use Forestry CC to find the entlings.,#forestry-scout-calls
110,Spending 100 numulite at the fossil island notes chest,1000,1000,0,Bring about 10000 numulite to be safe.,-
111,Killing demonic gorillas,60,60,0,,-
112,Opening hunters' loot sacks (hunters' rumours),30,30,0,"Guild Master Teco, using the Kebbit tech.",-
113,Running laps of monkey agility,95,95,0,,-
114,Collecting gold nuggets at the motherlode mine,10,10,0,,-
115,Looting skeletons in the ancient cavern (my notes / ancient page),360,360,0.2,"Not recommended, do mithril dragons instead.",-
116,"Killing revenants (orks, skulled)",200,200,0,,-
117,Collecting marks of grace (rooftop agility),25,25,0,Ardougne is fastest.,-
118,Killing soldiers in the shayzien combat ring,100,100,0,,-
119,Mining stardust from shooting stars,800,800,0,,-
120,Killing crawling hands,800,800,0,Cannon in Meiyerditch Labs.,-
121,Killing cockatrice,800,800,0,,-
122,Killing basilisks,350,350,0,,-
123,Killing basilisk knights (on task),90,90,0,Fang.,-
124,Killing kurask,250,250,0,Max melee.,-
125,Killing abyssal demons (catacombs of kourend),350,350,0,"Barrage. Not recommended, do Sire instead.",-
126,Killing dust devils (catacombs of kourend),650,650,0,,-
127,Killing waterfiends,150,150,0,"Not recommended, get from superiors instead. ",-
128,Killing gargoyles,250,250,0,"Not recommended, do boss instead.",-
129,Killing mogres,90,90,0,,-
130,Killing brine rats,675,675,0,,-
131,Killing turoth,300,300,0,"Not recommended, kill hydra boss instead.",-
132,Killing cave horrors,500,500,0,,-
133,Killing fossil island wyverns,145,145,0,Lance and full torva.,-
134,Killing ancient wyverns,75,75,0,"Not recommended, do small wyverns instead.",-
135,Killing skeletal wyverns,100,100,0,,-
136,Killing terror dogs,200,200,0,"Not recommended, do BA gambles instead.",-
137,Killing cave crawlers,800,800,0,,-
138,Killing cave slimes,600,600,0,"Not recommended, kill cave crawlers instead.",-
139,Killing pyrefiends,400,400,0,,-
140,Killing harpie bug swarms,400,400,0,,-
141,Killing bloodvelds,300,300,0,Rapier + Cannon.,-
142,Killing warped jellies (catacombs of kourend),650,650,0,Barrage.,-
143,Killing greater nechryael  (catacombs of kourend),400,400,0,Barrage.,-
144,Killing spiritual mages (non-zaros),180,180,0,"Not recommended, kill the Zaros ones instead.",-
145,Killing spiritual mages (zaros),150,150,0,,-
146,"Killing cave kraken (non-boss, on task)",240,240,0,,-
147,Killing dark beasts,190,190,0,,-
148,Killing smoke devils (on task),700,700,0,Barrage + alt.,-
149,Killing wyrms (on task),250,250,0,,-
150,Killing drakes (on task),155,155,0,,-
151,Killing sulphur lizards,800,800,0,,-
152,Killing infernal mages,450,450,0,Blowpipe.,-
153,Killing banshees,800,800,0,,-
154,Killing aberrant spectres,450,450,0,Cannon + blowpipe on task.,-
155,Pickpocketing from darkmeyer vyres,540,540,0,,-
156,Killing vyrewatch sentinels,160,160,0,Inquisitor + flail.,-
157,Killing warped terrorbirds,200,200,0,,-
158,Killing sulphur naguas,300,300,0,,-
159,Killing undead pirates,1000,1000,0,,-
160,"Killing araxytes (level 146, on task)",500,500,0,,-
161,Killing tormented demons,60,60,0,,-
162,Killing bulk tzhaar,750,750,0,,-
163,Killing tzhaar-mej,350,350,0,,-
164,Fishing (2-tick tuna and swordfish) ,1500,1500,0,Check Petcord.,-
165,Mining (gemstone rocks),1770,1770,0,Check Petcord.,-
166,Woodcutting (1.5-tick teaks),2350,2350,0,Check Petcord.,-
167,Hunting chinchompas (black chinchompas),850,850,0,Check Petcord.,-
168,Agility (penguin course),55,55,0,Check Petcord.,-
169,Farming (fruit trees),60,60,0,Check Petcord.,-
170,Thieving (fish stalls),1360,1360,0,Check Petcord.,-
171,Runecrafting (fire runes),26400,26400,0,Check Petcord.,-
172,Plucking herbiboar,60,60,0,Check Petcord.,-
173,Killing lizardmen,240,240,0,"Not recommended, kill shamans instead.",-
174,Killing lizardman shamans,125,125,0,,-
175,Fishing shark,440,440,0,2 tick fishing guild.,-
176,Fishing bass,360,360,0,2 tick fishing guild.,-
177,Killing in the wilderness god wars dungeon (barrage),500,500,0,,-
178,Looting grand gold chests (pyramid plunder),192,192,0,,-
179,Killing mithril dragons,84,84,0,,-
180,Killing adamant dragons,85,85,0,Lance.,-
181,Killing rune dragons,75,75,0,Lance.,-
182,Charging glories at the fountain of rune,1700,1700,0,,-
183,Killing ogress shamans,250,250,0,,-
184,Collecting unidentified minerals at the mining guild,20,20,0,Powermine iron.,-
185,Killing minotaurs (stronghold of security),500,500,0,,-
186,Killing flesh crawlers (stronghold of security),400,400,0,,-
187,Killing catablepons (stronghold of security),300,300,0,,-
188,Killing ankou (stronghold of security),200,200,0,,-
189,Killing moss giants (catacombs of kourend),750,750,0,,-
190,Killing hill giants,900,900,0,,-
191,Killing underwater crabs (level 23),400,400,0,,-
192,Killing undead druids,240,240,0,,-
193,Looting crystal implings,30,30,0,,-
194,Killing the prifddinas rabbit,4,4,0,Crossbow with ruby bolts.,-
195,Pickpocketing from prifddinas elves,450,450,0,,-
196,Killing elves (prifddinas),540,540,0,,-
197,Collecting mermaid tears (fossil island underwater),230,230,0,,-
198,Killing armoured zombies,400,400,0,,-
